unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
27.367;0.158;0.142;0.041;0.055;0.031;0.016;0.059;0.044;0.000;0.000;0.439;0.437;0.338;0.431;0.000;0.000;0.001;0.002;0.015;0.036;0.015;0.001;0.069;0.000;0.000;0.000;0.000;natural;2
27.394;0.159;0.134;0.039;0.055;0.029;0.013;0.044;0.032;0.000;0.000;0.438;0.437;0.317;0.410;0.000;0.000;0.001;0.002;0.015;0.041;0.020;0.004;0.068;0.000;0.000;0.000;0.000;natural;2
27.422;0.115;0.105;0.039;0.044;0.028;0.012;0.040;0.029;0.000;0.000;0.432;0.433;0.292;0.385;0.000;0.000;0.001;0.001;0.015;0.044;0.017;0.002;0.067;0.000;0.000;0.000;0.000;natural;2
27.450;0.083;0.096;0.038;0.040;0.027;0.011;0.031;0.015;0.000;0.000;0.427;0.422;0.251;0.344;0.000;0.000;0.001;0.001;0.026;0.046;0.007;0.001;0.066;0.000;0.000;0.000;0.000;natural;2
27.491;0.056;0.096;0.038;0.039;0.016;0.004;0.006;0.003;0.000;0.000;0.420;0.402;0.219;0.312;0.000;0.000;0.001;0.001;0.032;0.052;0.019;0.000;0.066;0.000;0.000;0.006;0.000;natural;2
27.534;0.048;0.101;0.038;0.038;0.013;0.001;0.001;0.001;0.000;0.000;0.418;0.393;0.195;0.288;0.000;0.000;0.002;0.002;0.042;0.056;0.025;0.000;0.066;0.000;0.000;0.008;0.000;natural;2
27.560;0.052;0.107;0.032;0.038;0.012;0.001;0.000;0.000;0.000;0.000;0.422;0.397;0.165;0.258;0.000;0.000;0.001;0.001;0.044;0.056;0.036;0.000;0.066;0.000;0.000;0.010;0.000;natural;2
27.603;0.053;0.111;0.029;0.038;0.011;0.000;0.000;0.000;0.000;0.000;0.422;0.398;0.152;0.246;0.000;0.000;0.002;0.001;0.040;0.049;0.023;0.000;0.065;0.000;0.000;0.010;0.000;natural;2
27.644;0.037;0.136;0.013;0.017;0.004;0.000;0.000;0.000;0.000;0.000;0.421;0.374;0.146;0.240;0.000;0.000;0.001;0.001;0.026;0.039;0.016;0.003;0.149;0.000;0.000;0.011;0.000;natural;2
27.672;0.037;0.136;0.013;0.017;0.004;0.000;0.000;0.000;0.000;0.000;0.421;0.374;0.146;0.240;0.000;0.000;0.001;0.001;0.026;0.039;0.016;0.003;0.149;0.000;0.000;0.011;0.000;natural;2
